PostId,PostTypeId,ParentId,CreationDate,Score,ViewCount,OwnerUserId,OwnerDisplayName,LastActivityDate,LastEditDate,CommentCount,FavouriteCount,QIds,QViewCounts
32396,2,32389,2015-06-10T07:27:28.233,3,,13650,,2015-06-10T07:27:28.233,,7,,34309,5648
32464,2,32462,2015-06-12T10:55:36.713,0,,26148,,2015-06-12T11:47:55.453,2015-06-12T11:47:55.453,9,,34484,4022
34877,2,32516,2015-08-29T22:12:16.187,8,,34197,,2015-08-30T19:10:46.470,2015-08-30T19:10:46.470,1,,34593,1599
32652,2,32644,2015-06-18T13:04:56.957,5,,29174,,2015-06-18T13:18:56.797,2015-06-18T13:18:56.797,1,,34840,2005
32853,2,32649,2015-06-24T14:42:58.327,1,,30760,,2015-06-24T14:42:58.327,,2,,34909,7098
32704,2,32703,2015-06-20T12:48:36.710,1,,13650,,2015-06-20T12:48:36.710,,2,,34996,4697
32729,2,32728,2015-06-21T12:11:43.157,1,,19820,,2015-06-21T12:11:43.157,,0,,36058,1788
32822,2,32795,2015-06-23T22:31:31.483,1,,4055,,2015-06-23T22:31:31.483,,2,,36097,14791
33464,2,32872,2015-07-14T20:47:24.037,0,,19650,,2015-07-14T20:47:24.037,,0,,36252,5822
33081,2,33036,2015-07-01T16:40:10.860,1,,32368,,2015-12-28T14:27:06.873,2015-12-28T14:27:06.873,0,,36493,512
33289,2,33229,2015-07-09T16:42:36.070,1,,32585,,2015-07-09T16:42:36.070,,0,,36595,1232
33328,2,33318,2015-07-10T12:42:49.580,1,,32331,,2015-07-28T12:27:55.563,2015-07-28T12:27:55.563,9,,36674,3909
40873,2,33415,2016-01-10T19:32:06.970,0,,35793,,2016-01-10T19:32:06.970,,0,,36705,4909
33672,2,33666,2015-07-21T17:35:22.717,1,,13650,,2015-07-22T09:19:40.257,2015-07-22T09:19:40.257,3,,36747,17661
33736,2,33735,2015-07-23T12:17:18.410,4,,13650,,2015-07-23T12:17:18.410,,4,,36869,1522
34029,2,33875,2015-08-01T12:32:03.957,2,,5781,,2015-08-05T19:44:14.287,2015-08-05T19:44:14.287,4,,37069,547
81793,2,33955,2018-03-25T08:50:21.400,2,,26163,,2018-03-25T08:50:21.400,,2,,37096,2242
34127,2,34124,2015-08-05T08:00:12.503,1,,13650,,2015-08-05T08:10:11.627,2015-08-05T08:10:11.627,4,,37103,7392
34209,2,34207,2015-08-08T13:45:04.450,1,,13650,,2015-08-08T13:45:04.450,,3,,37151,477
34319,2,34308,2015-08-11T21:40:40.317,1,,13650,,2015-08-11T21:40:40.317,,0,,37177,51230
44730,2,34309,2016-03-26T17:03:36.687,1,,43212,,2016-07-31T21:04:51.673,2016-07-31T21:04:51.673,2,,37225,860
34494,2,34484,2015-08-16T11:43:34.827,1,,13650,,2015-08-16T11:43:34.827,,6,,37366,4063
34672,2,34593,2015-08-21T18:45:23.057,1,,22480,,2015-08-21T18:45:23.057,,1,,37579,13077
34843,2,34840,2015-08-28T12:35:04.193,1,,13650,,2015-08-28T12:35:04.193,,5,,37605,2384
34910,2,34909,2015-08-31T09:31:31.407,2,,,user29510,2015-08-31T10:55:20.083,2015-08-31T10:55:20.083,0,,37671,5993
40801,2,34996,2016-01-09T08:41:06.287,5,,39062,,2016-01-09T08:41:06.287,,2,,37705,1924
39404,2,36058,2015-12-14T17:20:18.887,1,,36278,,2015-12-14T17:20:18.887,,0,,37733,2490
36110,2,36097,2015-09-06T17:49:12.663,1,,33979,,2015-09-06T17:49:12.663,,1,,37739,871
